State,Mineral,Year,Quantity,Value_Cr
Tamil Nadu,Limestone,2021,20277,5507871
Telangana,Limestone,2021,27250,5283048
Uttar Pradesh,Limestone,2021,2399,598028
India,Limeshell,2021,10893,39593
Karnataka,Limeshell,2021,760,1475
Kerala,Limeshell,2021,10133,38118
India,Magnesite,2021,195033,503919
Karnataka,Magnesite,2021,8419,43120
Tamil Nadu,Magnesite,2021,122408,362627
Uttarakhand,Magnesite,2021,64206,98172
India,Siliceous Earth,2021,58875,57457
Rajasthan,Siliceous Earth,2021,58875,57457
India,Selenite,2021,469,939
Rajasthan,Selenite,2021,469,939
India,Sulphur,2021,825172,0
Assam,Sulphur,2021,8051,0
Bihar,Sulphur,2021,7330,0
Gujarat,Sulphur,2021,95343,0
Haryana,Sulphur,2021,180431,0
Kerala,Sulphur,2021,155695,0
Maharashtra,Sulphur,2021,58903,0
Odisha,Sulphur,2021,231075,0
Uttar Pradesh,Sulphur,2021,47691,0
West Bengal,Sulphur,2021,40653,0
India,Vermiculite,2021,6055,7078
Andhra Pradesh,Vermiculite,2021,4790,2891
Rajasthan,Vermiculite,2021,0,0
Tamil Nadu,Vermiculite,2021,1265,4187
India,Wollastonite,2021,153049,126700
Rajasthan,Wollastonite,2021,153049,126700
Rajasthan,Lithium,2021,306399,11429378
